id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,home_team_name,away_team_api_id,away_team_name,home_team_goal,away_team_goal,avg_home_prob,avg_draw_prob,avg_away_prob,away_player_1_name,away_player_1_rating,away_player_1_potential,away_player_2_name,away_player_2_rating,away_player_2_potential,away_player_3_name,away_player_3_rating,away_player_3_potential,away_player_4_name,away_player_4_rating,away_player_4_potential,away_player_5_name,away_player_5_rating,away_player_5_potential,away_player_6_name,away_player_6_rating,away_player_6_potential,away_player_7_name,away_player_7_rating,away_player_7_potential,away_player_8_name,away_player_8_rating,away_player_8_potential,away_player_9_name,away_player_9_rating,away_player_9_potential,away_player_10_name,away_player_10_rating,away_player_10_potential,away_player_11_name,away_player_11_rating,away_player_11_potential,home_player_1_name,home_player_1_rating,home_player_1_potential,home_player_2_name,home_player_2_rating,home_player_2_potential,home_player_3_name,home_player_3_rating,home_player_3_potential,home_player_4_name,home_player_4_rating,home_player_4_potential,home_player_5_name,home_player_5_rating,home_player_5_potential,home_player_6_name,home_player_6_rating,home_player_6_potential,home_player_7_name,home_player_7_rating,home_player_7_potential,home_player_8_name,home_player_8_rating,home_player_8_potential,home_player_9_name,home_player_9_rating,home_player_9_potential,home_player_10_name,home_player_10_rating,home_player_10_potential,home_player_11_name,home_player_11_rating,home_player_11_potential
23245,21518,21518,2012/2013,28,2013-03-16 00:00:00,1260170,8633,Real Madrid CF,8661,RCD Mallorca,5,2,0.8381807945890276,0.1114492647311745,0.0503699406797978,Dudu Aouate,75.0,75.0,Alan Hutton,72.0,74.0,Jose Carlos Nunes,75.0,75.0,Pedro Bigas,69,74,Kevin Garcia,68.0,74.0,Tomas Pina,75.0,78.0,Fernando Damian Tissone,72.0,75.0,Emilio Nsue,72.0,77.0,Alejandro Alfaro,71.0,74.0,Giovani dos Santos,76,82,Victor Casadesus,72.0,72.0,Diego Lopez,82.0,84.0,Alvaro Arbeloa,79.0,79.0,Raphael Varane,81,88,Sergio Ramos,86.0,89.0,Fabio Coentrao,80,86,Pepe,84.0,86.0,Luka Modric,84.0,89.0,Alvaro Morata,73,81,Kaka,83.0,83.0,Cristiano Ronaldo,92,95,Gonzalo Higuain,85,87
23255,21518,21518,2012/2013,29,2013-03-30 00:00:00,1260196,8394,Real Zaragoza,8633,Real Madrid CF,1,1,0.1261208054218307,0.20153524794299,0.6723439466351792,Diego Lopez,82.0,84.0,Alvaro Arbeloa,79.0,79.0,Pepe,84.0,86.0,Sergio Ramos,86,89,Marcelo,82.0,85.0,Michael Essien,81.0,81.0,Luka Modric,84.0,89.0,Jose Maria Callejon,76.0,81.0,Kaka,83.0,83.0,Cristiano Ronaldo,92,95,Gonzalo Higuain,85.0,87.0,Roberto,79.0,84.0,Cristian Sapunaru,77.0,79.0,Glenn Loovens,72,67,Alvaro Gonzalez Soberon,74.0,78.0,Abraham Minero,70,71,Jose Movilla,73.0,73.0,Antonio Apono,75.0,75.0,Edu Oriol,66,66,Rodri,66.0,72.0,Paco Montanes,74,76,Helder Postiga,77,77
23266,21518,21518,2012/2013,3,2012-09-02 00:00:00,1260004,8633,Real Madrid CF,7878,Granada CF,3,0,0.8572341439029696,0.0968291326313819,0.0459367234656483,Tono,76.0,76.0,Allan Nyom,73.0,76.0,Inigo Lopez,73.0,73.0,Borja Gomez,72,75,Guilherme Siqueira,75.0,76.0,Iriney,77.0,77.0,Mikel Rico,74.0,74.0,Juanma Ortiz,70.0,70.0,Youssef El Arabi,74.0,84.0,Fabian Orellana,74,74,Antonio Floro Flores,76.0,76.0,Iker Casillas,89.0,90.0,Alvaro Arbeloa,80.0,80.0,Pepe,85,86,Sergio Ramos,87.0,89.0,Marcelo,83,85,Sami Khedira,83.0,85.0,Xabi Alonso,87.0,87.0,Jose Maria Callejon,79,81,Luka Modric,86.0,89.0,Cristiano Ronaldo,92,94,Karim Benzema,87,87
23274,21518,21518,2012/2013,30,2013-04-06 00:00:00,1260223,8633,Real Madrid CF,8581,Levante UD,5,1,0.828617776799006,0.1161857134307814,0.0551965097702125,Gustavo Adolfo Munua,76.0,76.0,Christian Lell,74.0,76.0,Sergio Ballesteros,77.0,77.0,Loukas Vyntra,74,74,Juanfran Garcia,74.0,74.0,Vicente Iborra,76.0,78.0,Pape Kouli Diop,77.0,78.0,Pedro Rios,72.0,72.0,Michel Herrero,75.0,78.0,Ruben Garcia,74,81,Robert Acquafresca,73.0,77.0,Diego Lopez,82.0,84.0,Alvaro Arbeloa,79.0,79.0,Pepe,84,86,Sergio Ramos,86.0,89.0,Marcelo,82,85,Luka Modric,84.0,89.0,Xabi Alonso,86.0,86.0,Jose Maria Callejon,76,81,Kaka,83.0,83.0,Karim Benzema,85,87,Gonzalo Higuain,85,87
23284,21518,21518,2012/2013,31,2013-04-14 00:00:00,1260131,8315,Athletic Club de Bilbao,8633,Real Madrid CF,0,3,0.1491843996341445,0.213916700356994,0.6368989000088614,Diego Lopez,82.0,84.0,Sergio Ramos,86.0,89.0,Pepe,84.0,86.0,Raul Albiol,80,84,Marcelo,82.0,85.0,Sami Khedira,84.0,86.0,Xabi Alonso,86.0,86.0,Angel Di Maria,86.0,88.0,Luka Modric,84.0,89.0,Cristiano Ronaldo,92,95,Karim Benzema,85.0,87.0,Gorka Iraizoz Moreno,73.0,73.0,Jonas Ramalho,69.0,73.0,Borja Ekiza,74,76,Mikel San Jose,76.0,81.0,Jon Aurtenetxe,74,78,Ander Iturraspe,76.0,78.0,Ander Herrera,77.0,81.0,Markel Susaeta,80,82,Iker Muniain,77.0,85.0,Ibai Gomez,75,79,Fernando Llorente,83,83
23293,21518,21518,2012/2013,32,2013-04-20 00:00:00,1260160,8633,Real Madrid CF,8603,Real Betis Balompié,3,1,0.7420660073956641,0.1616903979847605,0.0962435946195754,Adrian,73.0,79.0,Francisco Chica,73.0,74.0,Paulao,76.0,76.0,Antonio Amaya,71,73,Alex Martinez,71.0,73.0,Jose Canas,76.0,79.0,Benat Etxebarria,82.0,85.0,Dorlan Pabon,73.0,79.0,Nosa Emanuel Igiebor,73.0,79.0,Joel Campbell,73,79,Ruben Castro,79.0,79.0,Diego Lopez,82.0,84.0,Nacho Fernandez,69.0,74.0,Raul Albiol,80,84,Ricardo Carvalho,78.0,78.0,Marcelo,82,85,Luka Modric,84.0,88.0,Jose Maria Callejon,76.0,81.0,Mesut Oezil,87,88,Cristiano Ronaldo,92.0,95.0,Casemiro,72,86,Karim Benzema,85,87
23303,21518,21518,2012/2013,33,2013-04-27 00:00:00,1260202,9906,Atlético Madrid,8633,Real Madrid CF,1,2,0.3661221213221212,0.2737967416569826,0.3600811370208961,Diego Lopez,82.0,84.0,Raul Albiol,80.0,84.0,Pepe,84.0,86.0,Ricardo Carvalho,78,78,Nacho Fernandez,69.0,74.0,Sami Khedira,84.0,86.0,Michael Essien,81.0,81.0,Angel Di Maria,86.0,88.0,Kaka,83.0,83.0,Alvaro Morata,73,81,Karim Benzema,85.0,87.0,Thibaut Courtois,83.0,87.0,Juanfran,79.0,82.0,Miranda,80,82,Diego Godin,83.0,84.0,Filipe Luis,81,83,Mario Suarez,78.0,83.0,Gabi,80.0,80.0,Raul Garcia,78,82,Koke,79.0,85.0,Radamel Falcao,90,92,Diego Costa,81,82
23312,21518,21518,2012/2013,34,2013-05-04 00:00:00,1260241,8633,Real Madrid CF,10281,Real Valladolid,4,3,0.8077479172229204,0.1288958186012389,0.0633562641758408,Jaime,70.0,72.0,Antonio Rukavina,74.0,74.0,Jesus Rueda,73.0,74.0,Marc Valiente,73,76,Mikel Balenziaga,74.0,75.0,Alvaro Rubio,73.0,73.0,Victor Perez,75.0,77.0,Patrick Ebert,76.0,78.0,Oscar Gonzalez,76.0,76.0,Julian Ramos Omar,72,77,Javi Guerra,73.0,73.0,Diego Lopez,82.0,84.0,Nacho Fernandez,69.0,74.0,Pepe,84,86,Ricardo Carvalho,78.0,78.0,Fabio Coentrao,80,86,Sami Khedira,84.0,86.0,Luka Modric,84.0,88.0,Angel Di Maria,86,88,Kaka,83.0,83.0,Cristiano Ronaldo,92,95,Karim Benzema,85,87
23322,21518,21518,2012/2013,35,2013-05-11 00:00:00,1260283,8558,RCD Espanyol,8633,Real Madrid CF,1,1,0.1536187427847576,0.2169247748663135,0.6294564823489288,Diego Lopez,82.0,84.0,Raul Albiol,80.0,84.0,Raphael Varane,81.0,88.0,Ricardo Carvalho,78,78,Nacho Fernandez,69.0,74.0,Michael Essien,81.0,81.0,Luka Modric,84.0,88.0,Angel Di Maria,86.0,88.0,Kaka,83.0,83.0,Alvaro Morata,73,81,Gonzalo Higuain,85.0,87.0,Francisco Casilla,71.0,74.0,Javi Lopez,71.0,72.0,Diego Daniel Colotto,74,74,Hector Moreno,75.0,83.0,Joan Capdevila,72,72,Victor Sanchez Mata,72.0,75.0,Juan Forlin,74.0,78.0,Cristian Stuani,72,76,Joan Verdu,80.0,80.0,Wakaso Mubarak,72,78,Sergio Garcia,74,74
23331,21518,21518,2012/2013,36,2013-05-08 00:00:00,1260247,8633,Real Madrid CF,9864,Málaga CF,6,2,0.7746873813562323,0.1483767532684831,0.0769358653752847,Wilfredo Caballero,80.0,80.0,Sergio Sanchez,75.0,81.0,Martin Demichelis,80.0,80.0,Diego Lugano,78,78,Antunes,73.0,78.0,Ignacio Camacho,78.0,80.0,Francisco Portillo,73.0,76.0,Julio Baptista,77.0,77.0,Isco,83.0,86.0,Eliseu,78,78,Roque Santa Cruz,75.0,75.0,Diego Lopez,82.0,84.0,Nacho Fernandez,69.0,74.0,Raphael Varane,81,88,Raul Albiol,80.0,84.0,Fabio Coentrao,80,86,Michael Essien,81.0,81.0,Xabi Alonso,86.0,86.0,Mesut Oezil,87,88,Luka Modric,84.0,88.0,Cristiano Ronaldo,92,95,Karim Benzema,85,87
23341,21518,21518,2012/2013,37,2013-05-26 00:00:00,1260278,8560,Real Sociedad,8633,Real Madrid CF,3,3,0.3733603837762166,0.2599322268035895,0.3667073894201937,Diego Lopez,82.0,84.0,Alvaro Arbeloa,79.0,79.0,Raul Albiol,80.0,84.0,Ricardo Carvalho,77,77,Marcelo,82.0,85.0,Sami Khedira,84.0,86.0,Michael Essien,81.0,81.0,Jose Maria Callejon,76.0,81.0,Luka Modric,84.0,88.0,Kaka,83,83,Gonzalo Higuain,84.0,87.0,Claudio Bravo,80.0,82.0,Carlos Martinez,76.0,78.0,Mikel Gonzalez,75,78,Inigo Martinez,78.0,81.0,Alberto De la Bella,74,77,Markel Bergara,73.0,74.0,Asier Illarramendi,75.0,79.0,Gonzalo Castro,78,79,Xabier Prieto,80.0,80.0,Antoine Griezmann,79,84,Imanol Agirretxe,76,80
23351,21518,21518,2012/2013,38,2013-06-01 00:00:00,1260303,8633,Real Madrid CF,8371,CA Osasuna,4,2,0.7503280284376752,0.157729545756569,0.0919424258057557,Asier Riesgo,71.0,72.0,Oier,71.0,74.0,Ruben,69.0,69.0,Nano,70,70,Unai Garcia,50.0,68.0,Gato Silva,71.0,72.0,David Timor Copovi,71.0,73.0,Alvaro Cejudo,73.0,73.0,Emiliano Daniel Armenteros,73.0,76.0,Roberto Torres,64,72,Joseba Llorente,69.0,69.0,Jesus Fernandez,66.0,70.0,Jose Maria Callejon,76.0,81.0,Raul Albiol,80,84,Alvaro Arbeloa,78.0,78.0,Ricardo Carvalho,77,77,Michael Essien,81.0,81.0,Luka Modric,84.0,88.0,Angel Di Maria,86,88,Mesut Oezil,87.0,90.0,Karim Benzema,85,87,Gonzalo Higuain,84,87
23367,21518,21518,2012/2013,4,2012-09-15 00:00:00,1260022,8302,Sevilla FC,8633,Real Madrid CF,1,0,0.1718437919721581,0.2265334493425897,0.6016227586852522,Iker Casillas,89.0,90.0,Alvaro Arbeloa,80.0,80.0,Pepe,85.0,86.0,Sergio Ramos,87,89,Marcelo,83.0,85.0,Sami Khedira,83.0,85.0,Xabi Alonso,87.0,87.0,Angel Di Maria,86.0,88.0,Mesut Oezil,87.0,88.0,Cristiano Ronaldo,92,94,Gonzalo Higuain,85.0,87.0,Andres Palop,74.0,74.0,Cicinho,74.0,78.0,Emir Spahic,76,76,Alberto Botia,77.0,80.0,Fernando Navarro,76,76,Hedwiges Maduro,76.0,79.0,Gary Medel,78.0,82.0,Ivan Rakitic,77,84,Jesus Navas,85.0,86.0,Alvaro Negredo,82,85,Piotr Trochowski,75,81
23377,21518,21518,2012/2013,5,2012-09-24 00:00:00,1260044,8370,Rayo Vallecano,8633,Real Madrid CF,0,2,0.0997900023862184,0.1825606635335297,0.7176493340802519,Iker Casillas,89.0,90.0,Alvaro Arbeloa,80.0,80.0,Pepe,85.0,86.0,Sergio Ramos,87,89,Marcelo,83.0,85.0,Michael Essien,82.0,85.0,Xabi Alonso,87.0,87.0,Angel Di Maria,86.0,88.0,Luka Modric,86.0,89.0,Cristiano Ronaldo,92,94,Karim Benzema,87.0,87.0,Ruben,70.0,73.0,Tito,72.0,73.0,Mikel Labaka,68,68,Jordi Amat,71.0,74.0,Jose Manuel Casado,74,76,Javi Fuego,75.0,75.0,Jose Carlos,71.0,75.0,Alhassane Bangoura,73,78,Alejandro Dominguez,75.0,75.0,Andrija Delibasic,68,68,Leo Baptistao,66,75
23387,21518,21518,2012/2013,6,2012-09-30 00:00:00,1260063,8633,Real Madrid CF,9783,RC Deportivo de La Coruña,5,1,0.8362174228035757,0.1150292734849776,0.0487533037114466,Daniel Aranzubia,78.0,79.0,Manuel Pablo,71.0,71.0,Carlos Marchena,75.0,75.0,Ze Castro,72,73,Evaldo,72.0,72.0,Alejandro Bergantinos,70.0,71.0,Abel Aguilar,76.0,76.0,Bruno Vilela Gama,75.0,76.0,Juan Dominguez Lamas,73.0,78.0,Pizzi,76,83,Ivan Sanchez Riki,73.0,73.0,Iker Casillas,89.0,90.0,Sergio Ramos,87.0,89.0,Raphael Varane,76,84,Pepe,85.0,86.0,Marcelo,83,85,Sami Khedira,83.0,85.0,Luka Modric,86.0,89.0,Angel Di Maria,86,88,Mesut Oezil,87.0,88.0,Cristiano Ronaldo,92,94,Gonzalo Higuain,85,87
23396,21518,21518,2012/2013,7,2012-10-07 00:00:00,1260080,8634,FC Barcelona,8633,Real Madrid CF,2,2,0.5089722356285324,0.2452106823126301,0.2458170820588374,Iker Casillas,89.0,90.0,Alvaro Arbeloa,80.0,80.0,Pepe,85.0,86.0,Sergio Ramos,87,89,Marcelo,83.0,85.0,Sami Khedira,83.0,85.0,Xabi Alonso,87.0,87.0,Angel Di Maria,86.0,88.0,Mesut Oezil,87.0,88.0,Cristiano Ronaldo,92,94,Karim Benzema,87.0,87.0,Victor Valdes,85.0,87.0,Daniel Alves,84.0,84.0,Javier Mascherano,86,87,Adriano,75.0,82.0,Jordi Alba,81,84,Xavi Hernandez,90.0,90.0,Sergio Busquets,85.0,89.0,Cesc Fabregas,87,90,Pedro Rodriguez,84.0,88.0,Lionel Messi,94,96,Andres Iniesta,90,93
