id,match_api_id,match_date,away_player_9_name,away_player_9_rating,away_player_9_potential
22906,1051947,2012-03-31 00:00:00,Mesut Oezil,86,89
22911,1051952,2012-04-08 00:00:00,Daniel Parejo,76,84
22923,1051964,2012-04-11 00:00:00,Kaka,85,85
22930,1051971,2012-04-14 00:00:00,Lora,74,76
22940,1051981,2012-04-21 00:00:00,Mesut Oezil,86,89
22957,1051998,2012-04-29 00:00:00,Ivan Rakitic,79,85
22967,1052008,2012-05-05 00:00:00,Kaka,85,85
22975,1052016,2012-05-13 00:00:00,Tomas Pina,70,73
22984,1051685,2011-09-18 00:00:00,Kaka,85,85
22989,1051690,2011-09-21 00:00:00,Mesut Oezil,86,88
22999,1051700,2011-09-24 00:00:00,Michu,69,75
23016,1051717,2011-10-02 00:00:00,Kaka,85,85
23027,1051728,2011-10-15 00:00:00,Ruben Castro,75,75
23033,1051734,2011-10-22 00:00:00,Kaka,85,85
23039,1259332,2012-08-19 00:00:00,Jonas,80,82
23055,1260147,2012-11-03 00:00:00,Antonio Apono,74,78
23064,1260177,2012-11-11 00:00:00,Mesut Oezil,87,88
23074,1260203,2012-11-17 00:00:00,Iker Muniain,80,85
23083,1260225,2012-11-24 00:00:00,Mesut Oezil,87,88
23093,1260262,2012-12-01 00:00:00,Arda Turan,84,85
23102,1260235,2012-12-08 00:00:00,Mesut Oezil,87,88
23108,1260272,2012-12-16 00:00:00,Joan Verdu,80,80
23121,1260304,2012-12-22 00:00:00,Mesut Oezil,87,88
23131,1260319,2013-01-06 00:00:00,Xabier Prieto,77,77
23140,1260331,2013-01-12 00:00:00,Luka Modric,86,89
23156,1259985,2012-08-26 00:00:00,Mesut Oezil,86,89
23165,1259981,2013-01-20 00:00:00,Mesut Oezil,87,88
23176,1260005,2013-01-27 00:00:00,Diego Castro,74,74
23186,1260026,2013-02-02 00:00:00,Luka Modric,86,89
23197,1260048,2013-02-09 00:00:00,Jesus Navas,85,86
23207,1260067,2013-02-17 00:00:00,Alejandro Dominguez,76,76
23217,1260088,2013-02-23 00:00:00,Kaka,83,83
23226,1260112,2013-03-02 00:00:00,Pedro Rodriguez,85,88
23236,1260144,2013-03-10 00:00:00,Mesut Oezil,87,88
23245,1260170,2013-03-16 00:00:00,Alejandro Alfaro,71,74
23255,1260196,2013-03-30 00:00:00,Kaka,83,83
23266,1260004,2012-09-02 00:00:00,Youssef El Arabi,74,84
23274,1260223,2013-04-06 00:00:00,Michel Herrero,75,78
23284,1260131,2013-04-14 00:00:00,Luka Modric,84,89
23293,1260160,2013-04-20 00:00:00,Nosa Emanuel Igiebor,73,79
23303,1260202,2013-04-27 00:00:00,Kaka,83,83
23312,1260241,2013-05-04 00:00:00,Oscar Gonzalez,76,76
23322,1260283,2013-05-11 00:00:00,Kaka,83,83
23331,1260247,2013-05-08 00:00:00,Isco,83,86
23341,1260278,2013-05-26 00:00:00,Luka Modric,84,88
23351,1260303,2013-06-01 00:00:00,Emiliano Daniel Armenteros,73,76
23367,1260022,2012-09-15 00:00:00,Mesut Oezil,87,88
23377,1260044,2012-09-24 00:00:00,Luka Modric,86,89
23387,1260063,2012-09-30 00:00:00,Juan Dominguez Lamas,73,78
23396,1260080,2012-10-07 00:00:00,Mesut Oezil,87,88
23406,1260097,2012-10-20 00:00:00,Augusto Fernandez,74,77
23415,1260121,2012-10-28 00:00:00,Mesut Oezil,87,88
23419,1505556,2013-08-18 00:00:00,Joan Verdu,80,80
23434,1505908,2013-10-26 00:00:00,Gareth Bale,87,91
23444,1505918,2013-10-30 00:00:00,Vitolo,72,79
23455,1505929,2013-11-02 00:00:00,Gareth Bale,87,91
23465,1505939,2013-11-09 00:00:00,Xabier Prieto,80,80
23476,1505950,2013-11-23 00:00:00,Isco,84,88
23486,1505960,2013-11-30 00:00:00,Fausto Rossi,72,80
23497,1505971,2013-12-14 00:00:00,Isco,84,88
23507,1505981,2013-12-22 00:00:00,Isco,84,88
23517,1505991,2014-01-06 00:00:00,Rafinha,72,77
23526,1506000,2014-01-12 00:00:00,Angel Di Maria,86,88
23530,1505574,2013-08-26 00:00:00,Mesut Oezil,87,90
23539,1506003,2014-01-18 00:00:00,Gareth Bale,87,91
23550,1506014,2014-01-25 00:00:00,Youssef El Arabi,74,80
23560,1506024,2014-02-02 00:00:00,Jese Rodriguez,76,83
23571,1506035,2014-02-08 00:00:00,Moi Gomez,69,81
23581,1506045,2014-02-16 00:00:00,Gareth Bale,87,91
23592,1506056,2014-02-22 00:00:00,Carles Gil,73,82
23602,1506066,2014-03-02 00:00:00,Gareth Bale,87,91
23613,1506077,2014-03-09 00:00:00,Andreas Ivanschitz,76,76
23623,1506087,2014-03-15 00:00:00,Gareth Bale,87,91
23634,1506098,2014-03-23 00:00:00,Neymar,85,91
23640,1505584,2013-09-01 00:00:00,Markel Susaeta,80,82
23654,1506108,2014-03-26 00:00:00,Gareth Bale,87,91
23665,1506119,2014-03-29 00:00:00,Alberto Bueno,74,77
23675,1506129,2014-04-05 00:00:00,Isco,84,88
23686,1506140,2014-04-12 00:00:00,Jonathan Zongo,64,68
23696,1506150,2014-05-07 00:00:00,Angel Di Maria,86,88
23707,1506161,2014-04-26 00:00:00,Miguel Angel de las Cuevas,72,75
23717,1506171,2014-05-04 00:00:00,Daniel Parejo,77,84
23727,1506181,2014-05-11 00:00:00,Luka Modric,86,88
23736,1506190,2014-05-17 00:00:00,Abraham Gonzalez,71,73
23741,1505595,2013-09-14 00:00:00,Isco,83,87
23751,1505855,2013-09-22 00:00:00,Angel Lafita,75,75
23762,1505866,2013-09-25 00:00:00,Isco,84,88
23772,1505876,2013-09-28 00:00:00,Gabi,80,80
23783,1505887,2013-10-05 00:00:00,Isco,84,88
23793,1505897,2013-10-19 00:00:00,Samuel Garcia,63,69
23806,1778042,2014-08-25 00:00:00,Matos,71,79
23816,1778132,2014-11-01 00:00:00,James Rodriguez,86,92
23826,1778142,2014-11-08 00:00:00,Alberto Bueno,76,77
23837,1778153,2014-11-22 00:00:00,James Rodriguez,86,92
23847,1778163,2014-11-29 00:00:00,Gareth Bale,87,91
23857,1778173,2014-12-06 00:00:00,Fabian Orellana,76,76
23866,1778182,2014-12-12 00:00:00,Gareth Bale,87,91
23876,1778192,2015-02-04 00:00:00,Gerard Deulofeu,76,83
23885,1778201,2015-01-04 00:00:00,Gareth Bale,87,91
23895,1778211,2015-01-10 00:00:00,Sergio Garcia,76,76
23904,1778220,2015-01-18 00:00:00,Gareth Bale,87,91
23912,1778048,2014-08-31 00:00:00,Gareth Bale,87,91
23921,1778227,2015-01-24 00:00:00,Gareth Bale,87,91
23932,1778238,2015-01-31 00:00:00,Esteban Granero,77,81
23942,1778248,2015-02-07 00:00:00,Gareth Bale,87,91
23953,1778259,2015-02-14 00:00:00,Lucas Perez,74,77
23963,1778269,2015-02-22 00:00:00,Gareth Bale,87,91
23974,1778280,2015-03-01 00:00:00,Moi Gomez,77,84
23984,1778290,2015-03-07 00:00:00,Gareth Bale,87,91
23995,1778301,2015-03-15 00:00:00,David Barral,72,72
24005,1778311,2015-03-22 00:00:00,Gareth Bale,87,91
24016,1778322,2015-04-05 00:00:00,Ruben Rochina,72,78
24022,1778058,2014-09-13 00:00:00,Koke,82,85
24036,1778332,2015-04-08 00:00:00,Gareth Bale,87,91
24047,1778343,2015-04-11 00:00:00,Saul Berjon,70,70
24057,1778353,2015-04-18 00:00:00,Nordin Amrabat,77,80
24067,1778363,2015-04-26 00:00:00,James Rodriguez,86,92
24076,1778372,2015-04-29 00:00:00,Verza,74,74
24086,1778382,2015-05-02 00:00:00,Isco,83,88
24095,1778391,2015-05-09 00:00:00,Sofiane Feghouli,81,85
24105,1778401,2015-05-17 00:00:00,Gareth Bale,87,91
24114,1778410,2015-05-23 00:00:00,Pablo Sarabia,70,75
24123,1778069,2014-09-20 00:00:00,Gareth Bale,87,91
24133,1778079,2014-09-23 00:00:00,Victor Romero Rodriguez,75,79
24144,1778090,2014-09-27 00:00:00,Gareth Bale,87,91
24154,1778100,2014-10-05 00:00:00,Benat Etxebarria,80,82
24165,1778111,2014-10-18 00:00:00,Isco,83,88
24175,1778121,2014-10-25 00:00:00,Luis Suarez,89,91
24185,2030089,2015-08-23 00:00:00,Isco,83,88
24191,2030175,2015-10-31 00:00:00,Vicente Gomez,69,71
24200,2030184,2015-11-08 00:00:00,Isco,84,89
24210,2030194,2015-11-21 00:00:00,Sergi Roberto,78,85
24219,2030204,2015-11-29 00:00:00,Gareth Bale,87,89
24229,2030214,2015-12-05 00:00:00,Pablo Sarabia,77,82
24238,2030223,2015-12-13 00:00:00,Casemiro,77,81
24248,2030233,2015-12-20 00:00:00,Jozabed,72,77
24258,2030243,2015-12-30 00:00:00,Sergio Canales,79,83
24269,2030254,2016-01-03 00:00:00,Gareth Bale,87,89
24279,2030264,2016-01-09 00:00:00,Faycal Fajr,75,76
24295,2030099,2015-08-29 00:00:00,Daniel Ceballos,66,77
24305,2030355,2016-01-17 00:00:00,Alen Halilovic,77,91
24315,2030365,2016-01-24 00:00:00,James Rodriguez,87,93
24324,2030374,2016-01-31 00:00:00,Joan Jordan,64,71
24334,2030384,2016-02-07 00:00:00,James Rodriguez,87,93
24343,2030393,2016-02-13 00:00:00,Javier Eraso,73,77
24353,2030403,2016-02-21 00:00:00,Jese Rodriguez,78,85
24362,2030412,2016-02-27 00:00:00,Koke,83,87
24372,2030422,2016-03-02 00:00:00,Lucas Vazquez,77,82
24381,2030431,2016-03-05 00:00:00,Pablo Hernandez,77,77
24391,2030441,2016-03-13 00:00:00,Lucas Vazquez,77,82
24404,2030108,2015-09-12 00:00:00,Casemiro,76,80
24410,2030450,2016-03-20 00:00:00,Vicente Iborra,81,81
24420,2030460,2016-04-02 00:00:00,Gareth Bale,87,89
24429,2030469,2016-04-09 00:00:00,Adrian Gonzalez,73,74
24439,2030479,2016-04-16 00:00:00,Gareth Bale,87,89
24448,2030488,2016-04-20 00:00:00,Denis Suarez,79,86
24458,2030498,2016-04-23 00:00:00,Gareth Bale,87,89
24468,2030508,2016-04-30 00:00:00,Borja Mayoral,66,81
24479,2030519,2016-05-08 00:00:00,Enzo Perez,79,79
24489,2030529,2016-05-14 00:00:00,Gareth Bale,87,89
24504,2030118,2015-09-19 00:00:00,Ruben Rochina,72,78
24513,2030127,2015-09-23 00:00:00,Toni Kroos,87,90
24523,2030137,2015-09-26 00:00:00,Juan Carlos,73,77
24532,2030146,2015-10-04 00:00:00,Isco,84,89
24542,2030156,2015-10-17 00:00:00,Victor Camarasa,75,83
24551,2030165,2015-10-24 00:00:00,Lucas Vazquez,76,81
